number,Filename 0,Agent 0 pos x,Agent 0 pos y,Agent 0 pos z,Landmark 0 pos x,Landmark 0 pos y,Landmark 0 pos z,Distance 0,Filename 1,Agent 1 pos x,Agent 1 pos y,Agent 1 pos z,Landmark 1 pos x,Landmark 1 pos y,Landmark 1 pos z,Distance 1,Filename 2,Agent 2 pos x,Agent 2 pos y,Agent 2 pos z,Landmark 2 pos x,Landmark 2 pos y,Landmark 2 pos z,Distance 2,Filename 3,Agent 3 pos x,Agent 3 pos y,Agent 3 pos z,Landmark 3 pos x,Landmark 3 pos y,Landmark 3 pos z,Distance 3,Filename 4,Agent 4 pos x,Agent 4 pos y,Agent 4 pos z,Landmark 4 pos x,Landmark 4 pos y,Landmark 4 pos z,Distance 4,Filename 5,Agent 5 pos x,Agent 5 pos y,Agent 5 pos z,Landmark 5 pos x,Landmark 5 pos y,Landmark 5 pos z,Distance 5
1,ear1-P1133_1,23,69,35,28.0,76.0,39.0,9.486833608793313,ear1-P1133_1,26,70,35,28.0,72.0,35.0,2.8284274619209984,ear1-P1133_1,30,68,28,28.0,71.0,26.0,4.123105856917678,ear1-P1133_1,28,70,36,28.0,71.0,37.0,1.4142135623730951,ear1-P1133_1,27,70,42,27.0,72.0,47.0,5.385164807134504,ear1-P1133_1,31,79,50,29.0,76.0,51.0,3.7416576416541454
2,ear2-P0060_1,43,72,39,45.0,72.0,42.0,3.605553391478708,ear2-P0060_1,46,72,36,47.0,72.0,41.0,5.09901988765497,ear2-P0060_1,49,72,34,48.0,72.0,35.0,1.4142149110728905,ear2-P0060_1,47,72,41,48.0,73.0,42.0,1.7320519087778241,ear2-P0060_1,48,73,51,48.0,73.0,48.0,3.0,ear2-P0060_1,52,80,56,52.0,82.0,53.0,3.605551275463989
3,ear2-P0060_2,42,72,38,44.0,73.0,45.0,7.348470071911277,ear2-P0060_2,46,72,39,47.0,73.0,43.0,4.24264105239224,ear2-P0060_2,48,72,34,48.0,73.0,36.0,2.23606797749979,ear2-P0060_2,48,72,42,48.0,72.0,43.0,1.0,ear2-P0060_2,48,73,51,47.0,73.0,50.0,1.4142146581915809,ear2-P0060_2,52,80,56,50.0,80.0,56.0,2.0000030994415283
4,ear2-P0407_1,36,68,35,39.0,68.0,37.0,3.605551870592758,ear2-P0407_1,38,68,34,40.0,68.0,37.0,3.6055515399656763,ear2-P0407_1,41,68,28,41.0,68.0,30.0,2.0,ear2-P0407_1,40,68,38,41.0,68.0,38.0,1.000000238418579,ear2-P0407_1,40,69,45,41.0,68.0,43.0,2.449489840117165,ear2-P0407_1,43,76,50,44.0,77.0,51.0,1.732050945219919
5,ear2-P1051_1,38,73,36,39.0,73.0,37.0,1.4142149110728905,ear2-P1051_1,41,73,33,41.0,73.0,35.0,2.0,ear2-P1051_1,43,73,28,42.0,71.0,28.0,2.2360688304926803,ear2-P1051_1,42,72,35,42.0,73.0,37.0,2.23606797749979,ear2-P1051_1,43,74,43,42.0,73.0,45.0,2.4494905214556155,ear2-P1051_1,46,82,51,48.0,82.0,49.0,2.828429822145781
6,ear2-P1051_2,37,72,35,40.0,73.0,37.0,3.7416437666279783,ear2-P1051_2,41,73,32,41.0,73.0,36.0,4.0,ear2-P1051_2,43,72,26,42.0,70.0,26.0,2.236065445184813,ear2-P1051_2,42,72,35,42.0,73.0,35.0,1.0,ear2-P1051_2,42,72,42,43.0,74.0,44.0,2.9999981125243322,ear2-P1051_2,46,82,51,48.0,81.0,50.0,2.449480496064058
7,ear2-P1065_3,33,71,57,37.0,72.0,60.0,5.0990195135927845,ear2-P1065_3,38,72,56,39.0,72.0,58.0,2.23606797749979,ear2-P1065_3,40,70,53,39.0,73.0,51.0,3.7416573867739413,ear2-P1065_3,39,72,60,40.0,73.0,60.0,1.4142135623730951,ear2-P1065_3,39,72,66,40.0,74.0,67.0,2.449489742783178,ear2-P1065_3,43,81,74,44.0,81.0,72.0,2.23606797749979
8,ear2-P1094_1,42,79,38,43.0,80.0,42.0,4.2426415300576785,ear2-P1094_1,46,79,37,46.0,80.0,39.0,2.23606797749979,ear2-P1094_1,48,78,32,47.0,78.0,32.0,1.0000035762786865,ear2-P1094_1,48,78,39,47.0,79.0,40.0,1.732052872336801,ear2-P1094_1,48,79,45,47.0,80.0,48.0,3.316625868645748,ear2-P1094_1,52,88,54,51.0,89.0,52.0,2.4494912027950138
9,011_1_R,27,44,37,30.0,50.0,38.0,6.782329983125268,011_1_R,29,44,37,31.0,46.0,39.0,3.4641016151377544,011_1_R,30,42,28,30.0,43.0,30.0,2.23606797749979,011_1_R,29,43,36,30.0,43.0,35.0,1.4142135623730951,011_1_R,30,43,42,31.0,43.0,41.0,1.4142135623730951,011_1_R,34,52,47,34.0,51.0,47.0,1.0
10,020_1_L,31,70,38,29.0,69.0,39.0,2.449489742783178,020_1_L,33,71,36,30.0,69.0,36.0,3.605551275463989,020_1_L,35,70,30,32.0,70.0,30.0,3.0,020_1_L,34,69,35,31.0,69.0,37.0,3.605551275463989,020_1_L,34,69,43,32.0,68.0,44.0,2.449489742783178,020_1_L,35,75,51,36.0,76.0,50.0,1.7320508075688772
